name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,8.692959582790092,1.22,2.47,1.534,0.41982006727750515,2.01,2.51,2.174,0.16119001899069998,2.3,8.47,3.677,2.1055959831944127,4.35,10.700000000000001,5.851,2.0794254014029936
xs grep meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -b,4.143878185208204,1.76,4.48,3.218,1.040980307210468,2.18,2.46,2.323,0.10583530181896356,3.34,28.8,17.39,9.493240870336232,5.529999999999999,30.990000000000002,19.713,9.520617451965323
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,2.6569037656903767,2.86,6.75,5.019,1.245591782603309,1.37,1.68,1.532,0.101631141334184,2.75,6.66,4.798,1.2054395233459223,4.43,8.030000000000001,6.33,1.1070380902811492
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -b,2.535171102661597,4.32,6.8,5.26,0.9276852914647293,1.15,1.46,1.334,0.10762073323585108,2.6,5.26,3.648,0.9545423568973307,4.0,6.58,4.982,0.9247438083659231
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,1.9852612773559628,2.68,8.89,6.717,1.965649737081581,0.96,1.38,1.15,0.14460674642322574,1.65,6.61,4.735,1.727002863022783,2.61,7.710000000000001,5.885,1.719788423679559
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -b,1.9852612773559628,2.79,12.71,6.717,3.4499148137631197,0.88,2.25,1.337,0.4568260062649674,1.78,6.21,3.785,1.5721694141111722,2.73,8.46,5.122,1.907918004294501
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,1.8083807973962573,2.58,11.63,7.374,2.485925716240666,1.23,2.11,1.695,0.3221197154958248,1.1,6.47,3.208,1.6820014532957124,2.33,8.33,4.903,1.721750078650596
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,1.699159021406728,4.66,10.8,7.848,1.6939421477724677,1.61,2.31,2.028,0.23859775541460754,1.74,4.28,3.153,0.7289269129648352,3.35,6.59,5.181,0.8709056588785417
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.654056065492434,5.52,9.33,8.062,1.097571055659825,1.54,2.0,1.814,0.15392638933377645,2.39,4.45,3.601,0.684745694887282,3.93,6.3100000000000005,5.415,0.7527911027930951
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -b,1.5396605472809146,4.08,11.13,8.661,2.0183351224875086,1.36,2.05,1.646,0.22608749535424455,2.0,6.85,5.104,1.6587424955871442,3.3600000000000003,8.629999999999999,6.75,1.6477054752999192
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.0708263069139967,9.68,15.11,12.453,1.8637182071213327,6.49,9.04,7.895,0.9402156962929067,2.91,4.49,3.541,0.533217695797046,9.47,13.41,11.436,1.3616672786616328
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,11.81,15.99,13.335,1.1947500900932284,0.01,0.03,0.02,0.00816496580927726,10.07,12.61,11.688,0.7281910616192855,10.1,12.639999999999999,11.708,0.7256537282570339
