name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,1.84522641244918,6.62,8.58,7.133,0.5803073898087691,3.82,5.54,4.109,0.5094539560483689,6.52,8.52,7.157,0.5789847436101692,10.54,14.059999999999999,11.266,1.0263332792032027
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -i,1.6096367861073746,7.4,8.8,8.177,0.5078505904517807,3.04,3.26,3.138,0.0796938586787659,4.08,5.62,4.873,0.5595245997968077,7.2,8.71,8.011000000000001,0.5321539042211171
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -i,1.5946207899200389,6.9,11.62,8.254,1.4559395591850643,2.28,3.69,2.948,0.5454009738002145,2.04,6.19,4.29,1.2752428962532765,5.57,9.530000000000001,7.2379999999999995,1.0788450614739205
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,1.508884558064886,7.34,9.82,8.723,0.9735850131230339,2.45,3.97,2.8600000000000003,0.46861498055439926,3.78,6.38,5.053,0.8361160206574205,6.96,8.98,7.913,0.7104779299097818
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,1.3237453484863724,8.64,11.32,9.943,0.8140304389613175,3.76,4.57,4.248,0.28169329262712506,2.14,3.19,2.721,0.352182086742387,5.99,7.5600000000000005,6.969,0.4971574756106513
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -i,1.2676490417027835,7.6,15.19,10.383,2.771453890409629,2.28,5.57,3.661,1.1114600007797553,3.18,5.71,4.707,0.8490785855528594,6.9,11.280000000000001,8.368,1.3094086875804327
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,1.2345933777319202,9.83,11.62,10.661,0.6709768997513998,1.94,2.29,2.112,0.11988883740087461,3.72,5.71,4.271,0.5551266121846038,5.720000000000001,7.6899999999999995,6.383,0.5394245905489373
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -i,1.0131629589715958,11.71,14.44,12.991,0.8028068814409157,4.19,5.38,4.628,0.35165639795434145,3.13,5.47,4.79,0.6806696049561132,7.83,9.68,9.418,0.5627472296195197
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,12.49,14.44,13.162,0.6558929451942256,0.0,0.03,0.013,0.010593499054713802,11.23,12.89,12.089,0.46251606578702875,11.24,12.91,12.102,0.4619235145923331
xs grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,0.9019392859590215,12.36,17.26,14.593,1.768182054477926,8.47,10.75,9.471,0.8602254226525612,2.69,4.48,3.443,0.5972725043432391,11.219999999999999,15.17,12.914,1.4068341132565068
xs grep meta,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta,0.7552648189590866,16.07,19.42,17.427,1.0443929656344242,10.08,12.71,11.228,0.7798689348573616,3.54,4.11,3.834,0.17633301827319056,14.190000000000001,16.53,15.062000000000001,0.695793711446783
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.4199476740476039,27.43,35.67,31.342,3.152116749106861,23.92,29.26,26.436,2.129372364493037,2.74,3.68,3.181,0.27541685577401476,26.89,32.940000000000005,29.617,2.276801118528655
