name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -n,4.811333114968884,1.86,4.23,3.053,0.8656282240212725,2.12,2.42,2.287,0.10667187487284961,6.49,26.99,16.794,7.325277696670162,8.68,29.159999999999997,19.081,7.2921258141154475
xs grep,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,4.568895800933126,2.76,3.83,3.215,0.41505689034423005,14.31,14.85,14.601,0.17149344010777776,2.16,5.94,3.644,1.52970004321835,17.009999999999998,20.43,18.245,1.397841590134988
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -n,2.2088721804511278,3.02,10.23,6.65,3.0072431080827355,1.04,2.27,1.574,0.526417662655382,1.79,5.65,3.709,1.267582563605052,2.96,7.039999999999999,5.283,1.6413683316062853
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,2.165241745283019,5.56,8.0,6.784,0.7997666326289605,12.24,13.05,12.539,0.24875020938014644,5.15,7.91,6.561,0.8841248026532603,17.84,20.23,19.1,0.7127567763425487
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,2.0094391244870042,3.02,8.84,7.31,1.8852114529203938,1.17,1.65,1.405,0.14393285471589407,1.77,6.62,5.064,1.6726173767149763,2.94,8.02,6.469,1.697596012666801
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.8258545680546925,6.09,9.66,8.045,1.0266585497514633,1.44,2.0,1.841,0.1560947006004866,2.64,4.78,3.688,0.7205985166666821,4.51,6.71,5.529,0.7321725661800412
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,1.7703989393756778,5.43,13.16,8.297,2.2466421858211225,2.34,3.51,2.786,0.40587901864690884,2.02,4.0,2.757,0.7172021255468286,4.55,7.24,5.543,0.8719970693120986
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -n,1.6268689777383984,5.55,10.47,9.029,1.3475364352938455,1.48,2.05,1.724,0.180074058838764,2.27,5.99,5.099,1.0871619525678367,3.9699999999999998,7.529999999999999,6.8229999999999995,1.0560623929379256
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -n,1.2201179499958468,10.16,12.94,12.039,0.8711862921072365,7.98,8.72,8.439,0.25344076669356536,1.97,4.35,3.226,0.7669448770573047,9.950000000000001,12.52,11.665000000000001,0.8186201126828538
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,12.65,15.42,14.689,0.8218468362305851,0.01,0.04,0.021,0.011972189997378648,10.47,12.1,11.479,0.44692654131672815,10.51,12.12,11.5,0.4430450190318008
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,0.8039076182136603,12.89,21.0,18.272,2.7750027027013866,8.85,14.33,12.948,1.7851971568678036,1.62,3.67,2.714,0.7273727456477258,12.52,17.64,15.662,1.8680340230068386
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,0.7807068828062715,16.38,20.98,18.815,1.285666709878143,12.58,15.64,14.413,0.9310334759466674,2.7,3.76,3.275,0.3003054001068467,15.99,19.4,17.688,0.9549031364489278
