name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,9.656692913385825,1.1,1.43,1.27,0.10913803695829932,2.07,3.21,2.407,0.32588511949935844,2.01,3.09,2.538,0.34230590607427935,4.4399999999999995,5.859999999999999,4.944999999999999,0.42989016685143605
xs grep meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta,5.625688073394494,1.38,4.0,2.18,0.9610411021387171,2.17,2.7,2.391,0.1527852523424082,2.84,24.21,8.529,8.278743127901588,5.24,26.59,10.92,8.31706946252371
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,3.674056321150389,2.49,8.96,3.338,1.984869433153392,0.99,1.46,1.125,0.1267762683715774,1.42,5.97,2.032,1.3913526591853778,2.48,7.43,3.157,1.5103424924315823
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap,3.253050397877984,2.18,10.18,3.77,2.411214539512309,0.84,1.77,1.081,0.29342612168804755,1.33,4.37,2.083,0.9214246216231328,2.17,6.140000000000001,3.164,1.1942380183382393
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,3.1970802919708023,1.79,10.22,3.8360000000000003,3.193031300956646,0.93,1.58,1.155,0.2652147976431347,0.79,6.19,1.95,1.8819670560347226,1.7799999999999998,7.67,3.105,2.1139286753446638
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,2.6266866566716645,2.35,7.97,4.669,1.9301666594709725,1.05,1.94,1.466,0.3364256563079312,1.11,3.31,1.926,0.7499362935906253,2.16,5.25,3.392,1.0611293773878638
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,2.3289023927079375,3.62,6.08,5.266,0.7785770496374923,1.4,1.66,1.564,0.079190347335462,3.51,5.88,5.019,0.7280789029280336,5.12,7.41,6.583,0.7121025207089214
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,2.2992125984251968,2.17,8.44,5.334,2.337435441770413,1.11,2.06,1.624,0.38096952342382684,1.0,3.69,2.272,0.9461947180387579,2.12,5.75,3.896,1.3212132471499234
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1,2.285501304509877,3.46,6.54,5.366,1.1448163365555388,1.03,1.44,1.243,0.1371171437534749,2.31,4.91,3.93,0.9849873095629201,3.42,6.27,5.173,1.0646861822465183
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1,1.5867511967913053,4.85,10.19,7.729,1.6615752231609082,1.39,1.94,1.642,0.19083442503326745,1.91,5.94,4.2,1.138175928599988,3.55,7.33,5.842,1.1639473069401953
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0890684663884203,9.41,12.67,11.261,0.949765468125918,6.39,8.53,7.539,0.637468081989644,2.53,3.28,2.92,0.264280995238864,9.0,11.579999999999998,10.459,0.7374648767530858
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,11.5,13.37,12.264,0.5880136052847756,0.0,0.03,0.018,0.009189365834726815,11.24,12.72,11.892,0.4630526727898003,11.25,12.74,11.91,0.4607964120230684
