name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,4.808834729626809,1.88,3.15,2.626,0.38557892980699965,2.76,3.06,2.91,0.10295630140987007,5.18,16.25,12.059,3.35618980392945,7.959999999999999,19.14,14.969,3.4228105735232006
xs grep meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -b,3.569248162803844,2.78,4.3,3.538,0.5180690644649182,2.95,3.28,3.118,0.12007405122580718,13.91,27.29,20.754,4.52833351735983,16.94,30.57,23.872,4.620831574992151
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,2.146523882372939,5.57,6.36,5.883,0.2994086764867636,2.05,2.16,2.097,0.0377270901784558,5.25,6.1,5.66,0.28507309004300396,7.41,8.18,7.757,0.278290415852856
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -b,1.828554879814654,6.21,7.64,6.906,0.5014246370758687,1.66,2.11,1.98,0.13063945294843618,3.96,5.95,4.614,0.5887500884642538,5.91,7.61,6.593999999999999,0.5396542102741966
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,1.7738446411012783,5.92,9.21,7.119,0.8596052065402533,2.14,3.05,2.524,0.36016045806772784,2.06,5.35,3.837,1.2261053969559241,5.08,8.09,6.361,0.9990378704867332
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.5383116092094045,6.36,9.51,8.209,1.1854624039214028,2.38,3.81,3.4130000000000003,0.4341287571421384,1.75,3.6,2.61,0.5280572359550094,4.99,6.68,6.023,0.6104106086161273
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,1.5040495474035254,7.47,9.65,8.396,0.6259960951244914,2.78,3.39,2.987,0.16799801586129923,2.63,3.29,2.936,0.1907412441561139,5.5,6.49,5.923,0.28929223978530777
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,1.4476670870113495,7.88,9.34,8.722999999999999,0.5133560601029703,2.03,3.51,2.444,0.4074091582453961,3.41,6.15,5.596,0.8103798834840088,6.92,8.719999999999999,8.040000000000001,0.5624154257407161
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -b,1.2998455995882656,5.25,13.64,9.715,3.0463065067936506,2.02,4.15,3.068,0.9680541766290195,2.09,5.55,4.616,1.0611649782720458,4.5600000000000005,8.96,7.684,1.262266039928016
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -b,1.2178609316231073,9.38,11.28,10.369,0.5695309961323923,2.21,2.73,2.536,0.17385817975196527,4.93,5.91,5.492,0.27844009928329094,7.56,8.26,8.028,0.24638722910627248
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,11.72,14.69,12.628,0.904111595865122,0.0,0.03,0.016,0.013498971154211057,11.32,12.29,11.812,0.26118533224087764,11.35,12.299999999999999,11.828,0.2592210553862387
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,0.997787610619469,11.56,13.74,12.656,0.8532317647887029,8.19,9.57,8.888,0.4828112122420799,2.86,3.56,3.15,0.20789954839350236,11.23,12.860000000000001,12.038,0.6325398538168698
