name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,1.7624542640022516,6.37,7.66,7.106,0.3617918370186554,11.1,11.42,11.24,0.11527744310527067,5.97,7.51,6.885,0.4444284719352111,17.37,18.67,18.125,0.36727979041113107
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -i,1.251774112943528,8.66,16.07,10.005,2.187409680675093,4.07,8.38,5.222,1.2859739067682865,2.35,4.58,3.758,0.738599274904118,8.54,11.34,8.98,0.8460102442248162
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,1.1820670127418593,9.25,12.56,10.595,1.1038744896449455,4.5,6.55,4.95,0.6256019323641654,4.37,5.94,5.069,0.5405234088876777,9.01,11.27,10.019,0.811150760065942
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -i,1.106849315068493,8.25,15.33,11.315,2.5976795200503253,4.36,7.67,5.737,1.346097652062765,1.98,5.02,4.032,1.0049742948619798,7.300000000000001,11.7,9.769,1.3631047078065734
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -i,1.0108967632577286,10.56,13.84,12.389,0.9662119620225965,7.33,8.93,7.981,0.46750995235989956,2.64,5.09,4.114,0.7387105883452147,10.23,13.489999999999998,12.095,0.9634342507693792
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,11.68,14.49,12.524,0.789024714441823,0.01,0.03,0.018,0.006324555320336759,11.59,14.09,12.114,0.7183654285173312,11.61,14.11,12.132,0.7197036427122856
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.9328864059590315,11.41,16.03,13.425,1.455878886904173,5.83,8.72,7.531000000000001,0.7864752591997625,2.27,4.19,2.972,0.7630610868221641,9.74,12.32,10.503,0.9985105574471079
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -i,0.6510032227882316,15.3,23.57,19.238,2.3858601989406014,9.42,14.85,12.177,1.640074862789975,4.22,4.84,4.464,0.22426175182882455,14.23,19.31,16.641,1.4917361250122847
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -i,0.5481442577030812,20.36,25.41,22.848,1.59753838416762,13.0,16.0,14.499,0.9751176567186365,3.48,4.08,3.721,0.19209083499451218,16.59,19.93,18.22,1.080925529349733
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.44048958919527287,26.21,30.76,28.432000000000002,1.6170466907297392,22.96,25.91,24.481,1.0612513578057008,2.75,3.57,3.142,0.25147564494399843,25.950000000000003,29.48,27.623,1.2358986833699415
xs grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.3918035351165337,29.75,35.36,31.965,2.162725903422191,25.84,29.61,27.265,1.4409352672637468,2.32,3.06,2.6,0.29173808649388083,28.22,32.46,29.865,1.6041075746692024
xs grep meta,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -i,0.3113099676858066,37.13,44.61,40.23,2.428241247396056,31.14,36.62,33.298,1.8345741255730772,2.89,3.57,3.1350000000000002,0.22247346907989823,34.3,39.64,36.433,1.8075708069733327
