name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -n,4.223148445014428,1.85,4.1,3.1189999999999998,0.6625112158379743,2.9,3.37,3.124,0.1404912017806731,5.82,25.12,16.874,5.573451354412273,8.83,28.25,19.998,5.647620541234846
xs grep,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,3.426638917793965,3.23,4.32,3.844,0.3158480647399949,14.96,15.73,15.377,0.2889079053570146,3.36,12.23,8.6,2.6047605989376024,18.32,27.96,23.977,2.7421688496516765
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,1.8253880266075388,6.4,8.01,7.216,0.5317100295796153,13.09,13.49,13.296,0.12703455347966458,6.25,7.92,7.051,0.5737876107256257,19.67,21.009999999999998,20.347,0.49585055992483956
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.799699412488045,5.74,9.39,7.319,1.0985490430563398,1.99,3.62,2.613,0.6456185664410011,1.77,6.8,3.894,1.6711619377613356,5.0600000000000005,9.35,6.507,1.2980502472725948
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,1.644239171139683,6.66,9.88,8.011,0.9223213467477953,2.25,3.99,2.679,0.5501807783709723,2.33,5.84,4.861,1.070705374974834,5.58,8.66,7.54,0.7803987584704516
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,1.5933228498850855,7.74,10.2,8.267,0.7378504816921467,2.55,3.26,2.87,0.17950549357115014,4.81,5.82,5.155,0.27415526825343184,7.6,9.08,8.025,0.4142261861994403
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -n,1.5547686496694997,7.26,12.76,8.472,1.687554443566192,2.31,4.97,2.848,0.9105407428799902,3.6,5.42,5.03,0.5848076606885378,7.23,9.44,7.878,0.5894404125948609
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -n,1.3925362089015754,6.94,10.81,9.459,1.7107922141510934,1.8,2.92,2.447,0.44731420724139753,4.87,5.49,5.124,0.16958773540560063,6.85,8.1,7.571,0.47486723290714505
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,11.86,15.08,13.172,1.0771546881586795,0.01,0.03,0.019,0.0073786478737262184,11.57,12.13,11.889,0.20195984199285175,11.58,12.15,11.908,0.20340435917977076
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -n,0.9369753876796131,13.34,15.42,14.058,0.5553737480291987,8.7,9.71,9.011000000000001,0.36782997279842355,4.01,5.66,4.817,0.6157569866974038,13.02,15.370000000000001,13.828,0.6759158396000368
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,0.7983998060370954,13.32,19.26,16.498,2.1067921903532234,8.87,13.9,11.874,1.9889204218481054,1.96,4.55,2.8409999999999997,1.1185650529932436,13.239999999999998,16.36,14.715,0.9788456920724989
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,0.7120384885669496,17.28,20.55,18.499,0.9282534376152045,14.07,16.16,14.725,0.5843562459854623,2.71,3.42,3.093,0.2549095700221725,16.84,19.35,17.818,0.7169503314580297
