name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,4.806015037593985,2.33,3.39,2.66,0.31073389830457115,2.61,3.09,2.875,0.149164338901763,8.67,19.25,12.487,3.223638558454647,11.49,22.34,15.362,3.3358950156675427
xs grep meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta,3.8599033816425123,2.29,3.94,3.312,0.48700444898720724,2.94,3.32,3.11,0.13106402167558334,9.67,24.31,18.725,4.37348132371557,12.71,27.529999999999998,21.835,4.399732946441181
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,2.1267675927466314,5.54,6.68,6.011,0.3489810564740982,2.01,2.2,2.088,0.054731668671396866,5.4,6.47,5.801,0.3409936460796104,7.51,8.53,7.888999999999999,0.31171390016416567
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.731545442232155,5.78,9.06,7.383,1.0204361812479996,1.9,3.82,2.771,0.7793223552120992,1.89,5.23,3.378,1.3301194599650732,4.92,7.27,6.149,0.805983870806358
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1,1.728034603947013,6.56,7.78,7.398,0.41432139966724174,1.64,2.02,1.84,0.15216949614017772,4.39,6.01,5.372,0.6658127864998289,6.22,7.73,7.212,0.5548533339741435
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,1.6995479925551715,5.69,9.59,7.522,1.1822182539615937,1.99,2.81,2.273,0.25153086843919925,2.69,6.11,4.802,1.0895544451237347,5.0600000000000005,8.530000000000001,7.075,1.021831144998472
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,1.59879939969985,7.33,8.68,7.996,0.5024871474309899,2.07,3.51,2.394,0.4762165707136011,2.89,5.89,4.984,1.0515618014278676,5.82,8.02,7.378,0.6536699812936527
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,1.5590243902439027,7.4,8.7,8.2,0.3489030428834537,2.62,3.17,2.8890000000000002,0.17647473851328785,2.7,3.19,2.908,0.16551602809261567,5.32,6.08,5.797,0.2256373688514875
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap,1.3255910410618001,7.12,14.64,9.644,2.8000047619007127,1.96,4.65,3.13,1.213635493511586,4.18,5.86,4.916,0.590408521468163,7.02,9.510000000000002,8.046,0.8589554379852572
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1,1.2474629195940672,9.58,10.87,10.248,0.4855191951806732,2.27,2.9,2.558,0.1906013874264532,4.88,5.85,5.338,0.31565804282482646,7.550000000000001,8.370000000000001,7.896000000000001,0.2515374944438923
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0361484843572701,10.96,15.01,12.338000000000001,1.3527732831319352,8.01,9.97,8.717,0.6712186264135139,2.77,3.71,3.069,0.3136328355825575,10.78,13.68,11.786,0.9671171364191389
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,11.9,14.16,12.784,0.8559491158292579,0.0,0.04,0.016,0.011737877907772674,11.45,12.39,11.92,0.2842143166305632,11.459999999999999,12.39,11.936,0.2778568776266745
