name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,4.382658959537572,0.85,0.88,0.865,0.009718253158075509,0.51,0.6,0.554,0.02458545188611435,0.26,0.35,0.304,0.025905812303633927,0.8500000000000001,0.8700000000000001,0.8580000000000001,0.006324555320336753
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -i,2.3649407361197756,1.57,1.68,1.603,0.031989581637360154,1.2,1.36,1.2770000000000001,0.046916000587338164,0.26,0.38,0.319,0.03381321240777536,1.57,1.6800000000000002,1.596,0.031692971530679265
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,2.3575870646766166,1.59,1.65,1.608,0.018737959096740222,1.27,1.36,1.302,0.032930904093942615,0.27,0.35,0.3,0.03126943839882285,1.58,1.6400000000000001,1.602,0.01988857852023508
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -i,2.178735632183908,1.72,1.78,1.74,0.017638342073763955,1.07,1.15,1.115,0.028771127502720033,0.57,0.7,0.618,0.043919117578668294,1.71,1.77,1.7329999999999999,0.018885620632287152
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,2.1552018192154634,1.73,1.8,1.759,0.02469817807045696,1.09,1.19,1.14,0.03162277660168372,0.55,0.65,0.616,0.026749870196985166,1.7200000000000002,1.79,1.756,0.023664319132398394
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,2.085258525852585,1.81,1.82,1.818,0.004216370213557843,4.29,4.4,4.33,0.033993463423951986,1.87,1.93,1.888,0.020976176963402985,6.19,6.2700000000000005,6.218,0.02250925735484566
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -i,1.8035204567078973,2.09,2.13,2.102,0.013984117975602055,1.73,1.79,1.758,0.02097617696340305,0.29,0.36,0.336,0.02170509412813294,2.08,2.12,2.094,0.015055453054181595
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -i,1.589517819706499,2.37,2.4,2.385,0.009718253158075497,1.36,1.7,1.575,0.09548123724934997,0.68,1.03,0.805,0.09675283515799994,2.37,2.4,2.38,0.00942809041582059
xs grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.1857991867375663,3.17,3.25,3.197,0.02213594362117869,2.54,2.68,2.593,0.05143496432929222,0.55,0.65,0.601,0.038715486421958954,3.17,3.25,3.194,0.0227058484879019
xs grep meta,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta,1.1159846923756256,3.37,3.42,3.397,0.01567021236472416,2.7,2.82,2.7560000000000002,0.04005551702879934,0.57,0.72,0.634,0.0452646538580479,3.36,3.42,3.39,0.017638342073763927
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,3.76,3.85,3.791,0.02643650674519786,0.0,0.03,0.01,0.009428090415820633,3.74,3.84,3.769,0.03381321240777529,3.75,3.84,3.779,0.027668674625929528
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.36423904688701,10.38,10.44,10.408,0.01619327706865448,9.76,9.9,9.804,0.05015531433014419,0.52,0.64,0.599,0.043576242252962666,10.379999999999999,10.44,10.403,0.017669811040931377
