name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -n,11.414414414414413,0.32,0.34,0.333,0.006749485577105535,1.62,1.85,1.732,0.05711586664161039,0.39,0.53,0.426,0.041419265512024184,2.13,2.24,2.1580000000000004,0.03852848873813309
xs grep,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,4.860613810741688,0.76,0.8,0.782,0.013984117975602034,5.03,5.16,5.095,0.04478342947514806,0.37,0.45,0.399,0.023309511649396118,5.42,5.5600000000000005,5.494,0.04788875998951475
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,4.498224852071005,0.82,0.86,0.845,0.01433720877840439,0.49,0.57,0.531,0.028848262031225067,0.28,0.35,0.308,0.0225092573548455,0.8200000000000001,0.8500000000000001,0.8390000000000001,0.012866839377079178
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -n,4.2280311457174635,0.89,0.92,0.899,0.011005049346146129,0.54,0.61,0.573,0.021628170930011084,0.29,0.36,0.32,0.023094010767585032,0.8799999999999999,0.91,0.893,0.009486832980505129
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,3.5824693685202638,1.04,1.08,1.061,0.01595131481867388,0.37,0.46,0.423,0.030203016773531453,0.6,0.68,0.631,0.029608557321603297,1.04,1.07,1.054,0.011737877907772684
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -n,3.5824693685202638,1.04,1.09,1.061,0.01595131481867388,0.37,0.49,0.418,0.03155242550986462,0.56,0.69,0.638,0.03735713526965839,1.04,1.08,1.056,0.015776212754932323
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,3.245943637916311,1.15,1.19,1.1709999999999998,0.011972189997378658,0.83,0.91,0.874,0.0295145914949049,0.24,0.33,0.29000000000000004,0.030550504633038936,1.1400000000000001,1.1800000000000002,1.164,0.01173787790777265
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,2.9215987701767867,1.29,1.31,1.3010000000000002,0.007378647873726225,4.71,4.99,4.823,0.10033831659828557,1.27,1.3,1.288,0.012292725943057194,5.99,6.29,6.111,0.10836666154003882
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,3.76,3.84,3.8009999999999997,0.026436506745197888,0.0,0.02,0.011,0.0073786478737262184,3.73,3.83,3.775,0.029533408577782274,3.75,3.83,3.786,0.02633122354417535
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,0.9382868427548753,4.02,4.08,4.051,0.01728840330652,3.69,3.76,3.732,0.022509257354845477,0.26,0.35,0.312,0.030477678535099896,4.01,4.08,4.044,0.018973665961010393
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -n,0.8705909299129638,4.33,4.41,4.366,0.028362729848243593,3.53,3.63,3.568,0.027406406388125932,0.76,0.83,0.792,0.020439612955674518,4.32,4.4,4.36,0.026666666666666655
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,0.6722674212946587,5.63,5.71,5.654,0.02170509412813297,4.95,5.14,5.061999999999999,0.06795423296438396,0.49,0.7,0.583,0.06961002482082271,5.619999999999999,5.6899999999999995,5.645,0.01900292375165223
