name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,11.875776397515526,0.31,0.33,0.322,0.006324555320336764,1.59,1.7,1.637,0.04522781838156191,0.39,0.47,0.441,0.02998147576235847,2.0500000000000003,2.11,2.0780000000000003,0.02440400695696407
xs grep meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta,11.449101796407184,0.33,0.34,0.334,0.005163977794943227,1.66,1.79,1.732,0.04779586221049316,0.35,0.47,0.41,0.04055175020198813,2.13,2.2,2.142,0.021499353995462878
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,4.530805687203792,0.83,0.86,0.844,0.008432740427115686,0.5,0.57,0.536,0.025033311140691458,0.27,0.33,0.301,0.021832697191750423,0.8300000000000001,0.8500000000000001,0.8370000000000001,0.0067494855771055295
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,4.504122497055359,0.84,0.87,0.849,0.011005049346146129,0.51,0.57,0.536,0.018973665961010272,0.29,0.34,0.31,0.016996731711975965,0.8300000000000001,0.8700000000000001,0.8460000000000001,0.012649110640673502
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,4.431054461181923,0.85,0.88,0.863,0.008232726023485654,0.48,0.57,0.537,0.03267686915507326,0.28,0.38,0.322,0.033598941782277736,0.85,0.8700000000000001,0.859,0.0073786478737262315
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1,4.291806958473625,0.88,0.91,0.891,0.011005049346146129,0.52,0.59,0.562,0.02347575581554532,0.3,0.35,0.323,0.014944341180973264,0.87,0.9000000000000001,0.885,0.013540064007726553
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap,3.894093686354379,0.96,1.0,0.982,0.013165611772087677,0.28,0.39,0.339,0.03348299734359382,0.6,0.69,0.638,0.026997942308422118,0.96,0.99,0.977,0.011595018087284067
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,3.886178861788618,0.95,1.03,0.984,0.020110804171997825,0.32,0.38,0.352,0.018135294011647252,0.61,0.66,0.629,0.013703203194062989,0.95,1.02,0.981,0.0191195071996
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,3.530932594644505,1.07,1.09,1.0830000000000002,0.006749485577105535,0.63,0.68,0.659,0.012866839377079201,1.03,1.08,1.048,0.015491933384829681,1.7000000000000002,1.7200000000000002,1.707,0.00674948557710548
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1,3.101378751013787,1.21,1.26,1.233,0.017029386365926415,0.22,0.48,0.388,0.08390470785361212,0.73,0.98,0.836,0.07441624673267107,1.2,1.25,1.224,0.01712697677155352
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.201382343700911,3.17,3.23,3.183,0.01946506842754194,2.49,2.69,2.5949999999999998,0.05892556509887894,0.47,0.69,0.583,0.05907622195096771,3.1599999999999997,3.2199999999999998,3.178,0.018135294011647252
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,3.78,3.85,3.824,0.022211108331943657,0.0,0.02,0.008,0.006324555320336759,3.76,3.84,3.8,0.023094010767585074,3.7699999999999996,3.84,3.808,0.019888578520235175
