name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,3.3383128295254836,1.13,1.15,1.138,0.006324555320336764,3.64,3.75,3.6790000000000003,0.03348299734359377,1.1,1.14,1.117,0.013374935098492509,4.75,4.86,4.796,0.033399933466334436
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -i,1.4472380952380952,2.59,2.72,2.625,0.04478342947514804,2.27,2.4,2.324,0.041419265512024184,0.23,0.32,0.297,0.030930028559098783,2.59,2.7199999999999998,2.621,0.04724639903973869
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,1.4461362771221924,2.59,2.7,2.6270000000000002,0.03020301677353152,2.24,2.37,2.308,0.035213633723317976,0.29,0.34,0.314,0.015776212754932323,2.58,2.69,2.622,0.031198290551460246
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -i,1.3650736615163492,2.76,2.8,2.783,0.015670212364724226,2.1,2.24,2.166,0.04526465385804797,0.54,0.67,0.61,0.039440531887330786,2.75,2.79,2.776,0.013498971154211106
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,1.360186179735052,2.77,2.84,2.7929999999999997,0.020575065816014627,2.09,2.23,2.15,0.04163331998932265,0.56,0.69,0.637,0.03497618237219912,2.77,2.83,2.787,0.019465068427541917
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -i,1.0716502115655853,3.53,3.58,3.545,0.01649915822768619,3.19,3.27,3.219,0.02643650674519783,0.3,0.34,0.319,0.017919573407620834,3.52,3.57,3.538,0.01549193338482963
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -i,1.0641456582633053,3.55,3.59,3.57,0.012472191289246483,3.16,3.32,3.237,0.053758720222862384,0.25,0.4,0.329,0.05384133067531753,3.54,3.58,3.566,0.012649110640673537
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,3.77,3.84,3.799,0.02024845673131655,0.0,0.03,0.01,0.009428090415820633,3.74,3.81,3.775,0.023213980461973482,3.76,3.82,3.7849999999999997,0.01900292375165223
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -i,0.9801341589267286,3.85,3.93,3.876,0.023190036174568142,3.06,3.12,3.0869999999999997,0.018885620632287135,0.75,0.82,0.784,0.022705848487901848,3.8499999999999996,3.92,3.871,0.021317702607092662
xs grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.3637495212562236,10.41,10.48,10.444,0.024585451886114724,9.79,9.88,9.817,0.03267686915507359,0.58,0.67,0.621,0.026436506745197826,10.409999999999998,10.47,10.437999999999999,0.026161889160465215
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.36354066985645933,10.43,10.47,10.45,0.011547005383792953,9.78,9.89,9.838000000000001,0.03675746333890729,0.55,0.66,0.609,0.03871548642195898,10.43,10.46,10.447000000000001,0.010593499054714042
xs grep meta,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -i,0.34668735170651577,10.92,11.01,10.958,0.027808871486152482,10.26,10.39,10.326,0.0518973345494097,0.54,0.69,0.618,0.04939635614091389,10.9,11.0,10.943999999999999,0.028362729848243316
