name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -n,11.626911314984708,0.32,0.34,0.327,0.006749485577105535,1.63,1.76,1.696,0.033730961708462744,0.37,0.5,0.44,0.03771236166328254,2.12,2.21,2.136,0.026749870196985156
xs grep,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,4.7347447073474465,0.79,0.82,0.803,0.009486832980505124,5.07,5.23,5.163,0.05207899981971849,0.38,0.48,0.421,0.03784471194529325,5.52,5.630000000000001,5.5840000000000005,0.03565264521898927
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -n,3.425225225225225,1.1,1.13,1.11,0.00942809041582059,0.74,0.85,0.78,0.03829708431025352,0.27,0.36,0.324,0.03238655413730965,1.0899999999999999,1.12,1.104,0.009660917830792946
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,3.0489174017642346,1.24,1.26,1.2469999999999999,0.008232726023485654,0.88,0.96,0.928,0.022509257354845488,0.3,0.35,0.315,0.01509230856356236,1.23,1.26,1.2429999999999999,0.009486832980505146
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,2.8978658536585367,1.3,1.33,1.312,0.007888106377466161,4.79,5.01,4.87,0.0708676387515643,1.27,1.31,1.291,0.013703203194062989,6.07,6.279999999999999,6.161,0.07340148348485702
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,2.5414438502673797,1.48,1.52,1.496,0.01349897115421107,0.85,0.97,0.89,0.03527668414752788,0.54,0.64,0.603,0.031640339933558095,1.48,1.52,1.4929999999999999,0.013374935098492599
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -n,2.5329780146568956,1.49,1.52,1.501,0.011005049346146129,0.81,0.93,0.875,0.04453463071962464,0.56,0.7,0.618,0.047795862210493124,1.48,1.51,1.4929999999999999,0.010593499054713811
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,2.4155019059720457,1.56,1.58,1.574,0.006992058987801017,1.22,1.32,1.2650000000000001,0.029533408577782277,0.24,0.34,0.303,0.02830390628713838,1.56,1.58,1.568,0.006324555320336764
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,3.77,3.86,3.802,0.03614784456460254,0.0,0.02,0.007,0.0067494855771055295,3.74,3.83,3.7809999999999997,0.03314949304120488,3.75,3.85,3.788,0.03583914681524169
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,0.8922788077915982,4.23,4.3,4.261,0.018529256146249642,3.88,4.02,3.948,0.039384147967311746,0.23,0.38,0.306,0.04247875285886398,4.23,4.29,4.254,0.016465452046971158
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -n,0.8422684980062031,4.51,4.53,4.513999999999999,0.006992058987801087,3.69,3.81,3.739,0.0357304725222976,0.7,0.82,0.772,0.03645392830531286,4.5,4.52,4.511,0.005676462121975346
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,0.5969539959177265,6.34,6.4,6.369,0.019692073983656074,5.58,5.83,5.741,0.07578478299324556,0.54,0.77,0.622,0.07390684827688312,6.33,6.3999999999999995,6.3629999999999995,0.019465068427541796
