name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,11.58715596330275,0.32,0.34,0.327,0.008232726023485654,1.5,1.69,1.617,0.06325433669805657,0.39,0.54,0.453,0.04945255863507526,2.04,2.14,2.07,0.03197221015541813
xs grep meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta,11.447129909365557,0.33,0.34,0.331,0.003162277660168382,1.65,1.82,1.722,0.05006662228138294,0.38,0.47,0.41,0.03431876713662332,2.12,2.22,2.132,0.031198290551460273
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,3.5411214953271024,1.06,1.09,1.07,0.009428090415820642,0.73,0.82,0.776,0.027968235951204047,0.25,0.33,0.28900000000000003,0.025144029554194813,1.06,1.08,1.065,0.008498365855987969
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1,3.450819672131147,1.09,1.12,1.098,0.010327955589886454,0.74,0.8,0.774,0.02170509412813296,0.29,0.36,0.321,0.02078995483935024,1.08,1.11,1.0950000000000002,0.010801234497346443
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,3.4414168937329697,1.09,1.11,1.101,0.0056764621219754716,0.78,0.83,0.812,0.016193277068654793,1.05,1.1,1.0710000000000002,0.017288403306519935,1.86,1.9000000000000001,1.883,0.013374935098492573
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,3.050724637681159,1.23,1.26,1.242,0.009189365834726822,0.89,0.98,0.938,0.029363620727393628,0.26,0.35,0.298,0.028205594401741568,1.22,1.25,1.236,0.008432740427115686
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,3.043373493975903,1.23,1.26,1.245,0.008498365855987983,0.9,1.0,0.94,0.033665016461206905,0.24,0.35,0.299,0.03414023367751831,1.22,1.26,1.2389999999999999,0.011005049346146129
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1,2.694879089615932,1.39,1.42,1.406,0.01074967699773141,0.59,0.64,0.61,0.016996731711975965,0.76,0.81,0.791,0.017919573407620834,1.38,1.4100000000000001,1.401,0.009944289260117603
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,2.6589473684210527,1.41,1.44,1.4249999999999998,0.010801234497346443,0.74,0.88,0.804,0.04452215428550399,0.55,0.68,0.614,0.04351245032554859,1.4,1.4300000000000002,1.4180000000000001,0.010327955589886454
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap,2.6477987421383644,1.42,1.47,1.431,0.01595131481867388,0.76,0.9,0.807,0.03802046232695698,0.57,0.68,0.618,0.032591750830880874,1.41,1.47,1.425,0.019578900207451216
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,3.76,3.82,3.7889999999999997,0.017919573407620838,0.0,0.01,0.006,0.0051639777949432225,3.74,3.79,3.769,0.01523883926754994,3.75,3.8,3.775,0.014337208778404381
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,0.9693016116653875,3.88,3.95,3.909,0.0242441287279576,3.2,3.37,3.296,0.052110992655634125,0.52,0.69,0.607,0.054375239463074224,3.87,3.94,3.903,0.024966644414765277
