name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.2060931899641578,6.11,6.17,6.138,0.016865480854231327,0.69,0.8,0.749,0.033482997343593855,2.09,2.4,2.235,0.08017342313870461,2.8899999999999997,3.09,2.984,0.053789714010518165
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -b,1.1799489958559133,6.25,6.28,6.274,0.010749676997731555,0.38,0.5,0.436,0.03238655413730966,1.97,2.07,2.015,0.030276503540974907,2.43,2.49,2.451,0.020248456731316603
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,1.1797609561752989,6.25,6.28,6.275,0.01080123449734657,0.39,0.52,0.446,0.04087922591134905,1.91,2.11,2.004,0.06619835513230087,2.42,2.52,2.45,0.03559026084010444
xs grep meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -b,1.1732171156893818,6.29,6.33,6.3100000000000005,0.014142135623731067,0.68,0.81,0.745,0.03836954811073781,2.14,2.31,2.238,0.05245103536738913,2.9000000000000004,3.09,2.983,0.05417051268397258
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,1.1597994673351089,6.33,6.4,6.383,0.021108186931983457,0.57,0.65,0.607,0.030203016773531478,1.62,1.72,1.673,0.029832867780352577,2.26,2.3,2.28,0.017638342073763955
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.1540140296180827,6.4,6.43,6.415,0.010801234497346204,0.56,0.65,0.595,0.031001792062897122,1.59,1.68,1.644,0.028751811537130384,2.21,2.2600000000000002,2.239,0.019119507199599973
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,1.1525766775650008,6.41,6.43,6.423,0.00823272602348547,0.52,0.66,0.5720000000000001,0.038528488738133033,1.62,1.72,1.671,0.03142893217686177,2.21,2.2800000000000002,2.243,0.020575065816014673
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.1387478849407784,6.48,6.52,6.501,0.013703203194062685,2.53,2.74,2.6430000000000002,0.06549809157525137,1.88,2.1,2.013,0.0656675126849055,4.62,4.6899999999999995,4.656,0.025473297566056863
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -b,1.0753922138291692,6.85,6.9,6.8839999999999995,0.014298407059684852,0.59,0.67,0.629,0.03071373199943854,1.65,1.76,1.7,0.034318767136623365,2.3,2.36,2.3289999999999997,0.0196920739836559
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,1.0736765772298766,6.57,7.01,6.8950000000000005,0.15529541740394878,0.49,0.57,0.534,0.026331223544175338,2.33,2.43,2.362,0.03011090610836329,2.88,2.92,2.896,0.013498971154211063
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,7.32,7.59,7.4030000000000005,0.07196449741983114,0.0,0.03,0.015,0.008498365855987974,5.08,5.23,5.122,0.046856755708815014,5.08,5.25,5.137,0.05034326612809751
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -b,0.9706306542546218,7.54,7.76,7.627,0.08083591061183414,0.44,0.55,0.499,0.03900142447541003,2.12,2.31,2.227,0.05982381539896032,2.66,2.7800000000000002,2.726,0.03339993346633425
