name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -i,1.2079617834394905,6.26,6.3,6.28,0.01333333333333342,1.18,1.36,1.278,0.05731007280089993,1.83,2.09,1.966,0.07381658952355415,3.1900000000000004,3.3,3.2439999999999998,0.03533962208186276
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,1.2075772047118754,6.26,6.3,6.282,0.01475729574745251,1.2,1.37,1.283,0.0535516365555506,1.85,2.03,1.9609999999999999,0.05445691467165165,3.2,3.3,3.2439999999999998,0.033065591380365925
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,1.1905210295040805,6.33,6.39,6.372,0.018737959096740083,0.53,0.64,0.599,0.037844711945293256,1.62,1.77,1.671,0.04532597979574678,2.2399999999999998,2.3,2.27,0.02160246899469284
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -i,1.1775846010555728,6.42,6.46,6.442,0.01475729574745251,1.3,1.52,1.417,0.06515792780280505,1.55,1.73,1.6440000000000001,0.05081557066709196,3.01,3.14,3.061,0.04175324338699135
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,1.1768538628606888,6.43,6.46,6.446,0.013498971154211122,1.29,1.5,1.43,0.06863753427324665,1.56,1.79,1.629,0.08305955025696254,3.0,3.1100000000000003,3.059,0.03573047252229769
xs grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.1694157545860953,6.46,6.52,6.487,0.021628170930010977,2.55,2.76,2.655,0.06485025486114568,1.89,2.08,1.986,0.057387571244419636,4.62,4.68,4.641,0.020789954839350103
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,1.1322388059701494,6.52,6.86,6.7,0.1407914138796192,1.83,1.92,1.887,0.029078437983419116,2.48,2.57,2.529,0.026853512081497034,4.39,4.46,4.416,0.02366431913239836
xs grep meta,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta,1.1146047605054363,6.74,6.95,6.806,0.074565407529229,2.78,3.0,2.87,0.06306962642808173,1.94,2.14,2.04,0.06699917080747267,4.88,4.95,4.91,0.024494897427831744
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,7.34,8.1,7.586,0.25760434778939567,0.01,0.03,0.018,0.007888106377466154,5.09,5.19,5.148,0.033266599866332375,5.1,5.21,5.1659999999999995,0.039777157040470155
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -i,0.938745204801386,8.06,8.11,8.081,0.013703203194062685,1.78,1.95,1.836,0.049486249493055016,1.56,1.75,1.692,0.056725459696487054,3.49,3.6,3.528,0.032591750830880825
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -i,0.8407403302670953,8.92,9.08,9.023,0.06129165250396423,1.6,1.73,1.67,0.044969125210773446,2.09,2.18,2.148,0.02820559440174164,3.76,3.88,3.818,0.040496913462633205
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.639575077986679,11.79,11.92,11.861,0.039567101935264075,9.84,10.05,9.969,0.06822348894951381,1.79,1.95,1.847,0.056774407379851434,11.76,11.88,11.816,0.03565264521898936
