name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,1.2478437754271767,6.13,6.16,6.145,0.0097182531580757,4.42,4.74,4.63,0.09213516640723511,2.0,2.27,2.126,0.0941865760663966,6.65,6.87,6.756,0.07890923055426848
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -n,1.2245289045033536,6.24,6.28,6.262,0.014757295747452362,0.49,0.59,0.552,0.031198290551460228,1.91,2.05,1.97,0.03496029493900503,2.5,2.55,2.522,0.015491933384829694
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,1.2227714878009888,6.26,6.28,6.271,0.009944289260117766,0.47,0.62,0.524,0.04273952113286563,1.89,2.04,1.994,0.045264653858047905,2.5,2.54,2.518,0.013984117975602124
xs grep meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -n,1.2154065620542083,6.3,6.32,6.309,0.008755950357709317,0.63,0.84,0.781,0.06740425308044984,2.07,2.35,2.187,0.09043720964784847,2.9099999999999997,3.0100000000000002,2.968,0.03645392830531292
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.1945785947966974,6.39,6.43,6.419,0.013703203194062895,0.56,0.64,0.598,0.030840089349921003,1.59,1.71,1.647,0.04398231968012191,2.21,2.29,2.245,0.021213203435596437
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,1.172656369475455,6.41,6.7,6.539,0.10268073496685402,3.86,4.02,3.947,0.04922736366426028,2.27,2.41,2.336,0.04168666186896931,6.24,6.32,6.2829999999999995,0.023593784492248554
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,1.1339840283939664,6.75,6.77,6.762,0.010327955589886225,0.9,1.09,0.997,0.062191460649978145,1.52,1.73,1.609,0.07400450436741443,2.5700000000000003,2.64,2.606,0.01837873166945362
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -n,1.1174584669192655,6.75,6.9,6.862,0.060332412515993486,0.58,0.68,0.637,0.02907843798341921,1.65,1.74,1.693,0.03056868404829436,2.31,2.37,2.33,0.01885618083164131
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,1.087505318394554,7.0,7.09,7.051,0.027668674625929524,3.75,3.92,3.832,0.054528280124476074,1.57,1.78,1.664,0.06257440016137235,5.46,5.53,5.496,0.022705848487901758
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,7.37,8.21,7.668,0.2757938038140492,0.0,0.04,0.016,0.012649110640673518,5.09,5.22,5.146,0.0442718872423572,5.11,5.239999999999999,5.162,0.043665394383500596
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,0.9864917020455424,7.75,7.81,7.773,0.020027758514399693,5.13,5.3,5.208,0.05769652406245003,1.81,2.01,1.905,0.07367345368433441,7.07,7.16,7.113,0.030568684048294412
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -n,0.6949429037520392,10.67,11.2,11.034,0.17404980130219447,3.51,3.8,3.675,0.08475454756727414,2.07,2.32,2.173,0.07040359839288524,5.79,5.91,5.848,0.033266599866332416
