name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.2063517915309447,6.11,6.2,6.14,0.024944382578492966,0.7,0.8,0.758,0.0289827534923789,2.07,2.32,2.208,0.07052186422190874,2.83,3.04,2.966,0.0686699028363631
ripgrep --no-mmap -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap,1.18077474892396,6.25,6.28,6.273,0.010593499054713967,0.41,0.47,0.446,0.01837873166945363,1.98,2.04,2.013,0.02213594362117864,2.4499999999999997,2.48,2.459,0.012866839377079109
ripgrep --no-mmap,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,1.180210325047801,6.26,6.28,6.276,0.006992058987801256,0.37,0.47,0.429,0.026853512081497107,1.98,2.1,2.023,0.03772709017845578,2.41,2.49,2.452,0.02740640638812597
xs grep meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta,1.1742232086239697,6.29,6.33,6.308,0.01316561177208773,0.68,0.8,0.745,0.035668224265054504,2.18,2.33,2.243,0.052925524193068736,2.91,3.04,2.988,0.03852848873813309
xs grep -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,1.1600626468285042,6.37,6.4,6.385,0.009718253158075446,0.51,0.64,0.571,0.03665151201974255,1.64,1.75,1.708,0.03705851229249949,2.25,2.31,2.279,0.019119507199600018
ripgrep -j 1,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,1.1530199252801994,6.4,6.44,6.4239999999999995,0.011737877907772558,0.53,0.62,0.584,0.030983866769659318,1.63,1.69,1.662,0.025733678754158402,2.2199999999999998,2.27,2.246,0.01837873166945369
ripgrep,rg Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.1528404669260701,6.41,6.44,6.425,0.008498365855987969,0.53,0.62,0.582,0.03190262963734771,1.6,1.7,1.658,0.0335989417822777,2.21,2.26,2.2399999999999998,0.0182574185835055
GNU grep,grep Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.1383125864453665,6.48,6.56,6.507,0.020575065816014437,2.63,2.84,2.722,0.06646636576327737,1.83,2.05,1.939,0.06332456079595022,4.63,4.74,4.6610000000000005,0.032472210341220026
xs grep -j 1 meta,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1,1.0761295946534941,6.86,6.89,6.883,0.010593499054713577,0.57,0.68,0.624,0.043512450325548624,1.62,1.76,1.695,0.05016638981097471,2.3,2.34,2.319,0.016633299933166146
xs grep --no-mmap,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,1.0702210663198959,6.61,7.03,6.921,0.15982281856272387,0.52,0.59,0.555,0.02273030282830973,2.31,2.37,2.341,0.01911950719959998,2.88,2.9099999999999997,2.896,0.008432740427115651
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,7.34,7.46,7.407,0.04448470398787534,0.0,0.04,0.014,0.0107496769977314,5.06,5.17,5.132,0.0348966728754732,5.079999999999999,5.19,5.146,0.0356526452189894
xs grep --no-mmap -j 1,xs Sherlock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1,0.9686151431934091,7.55,7.72,7.647,0.06600505031182592,0.39,0.54,0.482,0.05181162460726787,2.15,2.29,2.225,0.052546275901448156,2.66,2.74,2.707,0.024517567397911003
