name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.2246388573283558,6.11,6.25,6.1610000000000005,0.050651313463281056,0.93,1.09,1.01,0.050332229568471686,2.32,2.49,2.402,0.06303438215238845,3.28,3.5500000000000003,3.412,0.07390684827688318
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,1.2052715654952078,6.26,6.26,6.26,0.0,0.84,0.99,0.9259999999999999,0.04857983120596447,1.93,2.06,1.9889999999999999,0.0430632609592498,2.9,2.94,2.915,0.01269295517643979
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -b,1.2052715654952078,6.26,6.26,6.26,0.0,0.87,1.03,0.9410000000000001,0.058585170668200855,1.86,2.04,1.971,0.05363456596884761,2.87,2.94,2.912,0.02440400695696412
xs grep meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -b,1.197809176059692,6.28,6.33,6.2989999999999995,0.017288403306519727,0.98,1.19,1.064,0.06328067986711619,2.19,2.35,2.263,0.06000925854492045,3.29,3.39,3.327,0.0298328677803526
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,1.1876278923343302,6.35,6.37,6.353,0.006749485577105736,0.74,0.9,0.855,0.0488193950529227,1.58,1.75,1.642,0.05573747990954258,2.47,2.54,2.497,0.023593784492248474
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.179274773366677,6.39,6.4,6.398000000000001,0.004216370213558124,0.98,1.06,1.0150000000000001,0.03027650354097494,1.56,1.71,1.635,0.045765100725819886,2.6100000000000003,2.69,2.65,0.026666666666666543
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -b,1.1790904828879512,6.39,6.41,6.399,0.005676462121975659,0.94,1.02,0.995,0.026352313834736518,1.63,1.72,1.6709999999999998,0.028067379246694536,2.6399999999999997,2.69,2.666,0.013498971154211049
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -b,1.098413160576503,6.86,6.88,6.869,0.0073786478737260614,0.8,0.89,0.838,0.02658320271650252,1.63,1.73,1.682,0.032930904093942615,2.48,2.55,2.52,0.01943650631615094
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.096497602092719,6.85,6.94,6.881,0.02601281735350235,3.31,3.52,3.405,0.07184087354084105,1.86,2.03,1.9689999999999999,0.05546770832355219,5.33,5.44,5.374,0.039496835316263
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -b,1.0793991416309012,6.9,7.04,6.99,0.04268749491621884,0.64,0.78,0.705,0.03719318934070232,2.28,2.42,2.3489999999999998,0.040947120370871865,3.04,3.0700000000000003,3.054,0.009660917830792978
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,7.31,7.82,7.545,0.17513486866475864,0.0,0.02,0.008,0.006324555320336759,5.11,5.22,5.148,0.0322490309931941,5.12,5.22,5.156,0.032041639575194326
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -b,0.9397185203636816,7.9,8.19,8.029,0.09550450832872294,0.56,0.7,0.651,0.04508017549014446,2.14,2.28,2.186,0.04526465385804784,2.79,2.88,2.8369999999999997,0.02869378562220977
