name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,1.2094861660079053,6.32,6.33,6.325,0.005270462766947186,2.19,2.39,2.271,0.0714065045278712,1.93,2.11,2.013,0.070087247215326,4.25,4.32,4.284,0.02221110833194376
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -i,1.2092949731267784,6.32,6.34,6.3260000000000005,0.006992058987800861,2.21,2.46,2.303,0.06976946164173678,1.81,2.07,1.9769999999999999,0.07273238618387269,4.23,4.34,4.279999999999999,0.031972210155418096
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,1.1842105263157896,6.45,6.47,6.46,0.004714045207910216,2.27,2.49,2.408,0.05921711464320655,1.53,1.84,1.664,0.07848566748139434,4.0200000000000005,4.11,4.072,0.026161889160464687
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -i,1.1842105263157896,6.45,6.47,6.46,0.004714045207910216,2.37,2.51,2.45,0.045946829173634025,1.55,1.73,1.626,0.0564111888034831,4.02,4.21,4.076,0.052323778320929576
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -i,1.1774665230106203,6.48,6.52,6.497,0.014944341180972945,3.19,3.44,3.303,0.07775317071062475,1.59,1.77,1.672,0.057696524062450114,4.93,5.03,4.975,0.031001792062897195
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -i,1.1389012952210809,6.67,6.77,6.717,0.0340098025084926,3.21,3.38,3.298,0.05493430419854047,2.24,2.39,2.318,0.05202563470700446,5.59,5.640000000000001,5.616,0.014298407059685016
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -i,1.0794412304218994,7.07,7.12,7.087,0.016363916944844757,3.26,3.49,3.362,0.07269418439218138,1.55,1.75,1.656,0.06113736809658863,4.9799999999999995,5.11,5.018,0.0413118223595459
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,7.32,8.18,7.65,0.25660172338556964,0.01,0.03,0.014,0.00699205898780101,5.01,5.2,5.101,0.06573515886579367,5.029999999999999,5.21,5.115,0.0634647758821995
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -i,0.7108344173945363,10.64,10.81,10.762,0.04894441291460687,3.08,3.17,3.129,0.03247221034122015,2.1,2.22,2.158,0.034576806613039905,5.27,5.3100000000000005,5.287,0.014181364924122046
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.6494057724957556,11.74,11.82,11.78,0.024944382578492887,9.8,10.02,9.93,0.08419553960210037,1.72,1.97,1.819,0.09302926660166919,11.700000000000001,11.79,11.749,0.02766867462592907
xs grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -i,0.6481403033127171,11.74,11.89,11.803,0.04808557187163582,9.86,10.05,9.967,0.06183310871477652,1.68,1.9,1.783,0.06532823109328599,11.71,11.78,11.75,0.021602468994692772
xs grep meta,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -i,0.6178323372637701,12.29,12.44,12.382,0.05711586664161035,10.27,10.56,10.371,0.09734817238483073,1.75,2.0,1.92,0.09092121131323903,12.26,12.33,12.291,0.020789954839350408
