name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,1.279557651650675,6.12,6.17,6.149,0.013703203194063023,4.66,4.91,4.767,0.09463966751139115,2.02,2.29,2.189,0.09620002310002038,6.82,7.07,6.956,0.07396695959082757
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,1.2524673670805477,6.26,6.31,6.282,0.013165611772087641,0.97,1.1,1.01,0.038873012632302036,1.86,2.08,1.998,0.06142746399887703,2.96,3.05,3.008,0.028982753492378832
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap -n,1.2504767959313414,6.27,6.31,6.292,0.014757295747452416,0.92,1.1,1.0,0.05291502622129184,1.92,2.08,2.012,0.05028805910838964,2.96,3.06,3.012,0.03457680661303983
xs grep meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -n,1.2467120900015847,6.29,6.32,6.311,0.009944289260117678,0.89,1.21,1.044,0.09890511727015049,2.04,2.37,2.197,0.10893933072025812,3.16,3.2800000000000002,3.241,0.034785054261852175
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -b,1.2238295224762794,6.41,6.45,6.429,0.009944289260117528,0.98,1.08,1.034,0.03204163957519447,1.59,1.68,1.629,0.030349812373573367,2.64,2.6799999999999997,2.663,0.013374935098492434
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -n,1.218145223718842,6.4,6.7,6.4590000000000005,0.1080586260632008,4.07,4.17,4.122,0.03293090409394257,2.3,2.44,2.365,0.04600724580614091,6.4399999999999995,6.58,6.487,0.047387293186629355
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,1.1640775262612812,6.73,6.78,6.759,0.014491376746189272,1.26,1.43,1.359,0.049091750834534265,1.57,1.78,1.665,0.05720334100576836,3.0,3.0599999999999996,3.024,0.017763883459298885
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1 -n,1.139134211669321,6.75,6.94,6.907,0.0561842207978954,0.78,0.95,0.858,0.0511642236115997,1.59,1.83,1.713,0.06515792780280506,2.5300000000000002,2.62,2.571,0.031073389830457158
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 -n,1.0831497797356828,7.23,7.3,7.264,0.022705848487901793,3.91,4.18,4.054,0.07336363010526542,1.54,1.8,1.662,0.0762743585864724,5.6899999999999995,5.73,5.716,0.013498971154211063
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,7.38,8.28,7.868,0.24773641906940783,0.0,0.03,0.016,0.009660917830792959,5.1,5.26,5.163,0.058128210783481835,5.109999999999999,5.2700000000000005,5.178999999999999,0.06172519744804406
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -n,0.9472670358776789,8.28,8.36,8.306,0.02319003617456825,5.8,5.99,5.905,0.06570134448142348,1.88,2.07,1.9629999999999999,0.07288499312082167,7.83,7.9399999999999995,7.868,0.030477678535099847
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1 -n,0.6949302243419891,11.27,11.39,11.322,0.041579909678700934,3.75,3.98,3.84,0.07423685817106697,2.08,2.3,2.199,0.07665941994736629,5.99,6.07,6.039,0.02183269719175045
