name,command,wall speedup,min wall [s],max wall [s],mean wall [s],stdev wall [s],min usr [s],max usr [s],mean usr [s],stdev usr [s],min sys [s],max sys [s],mean sys [s],stdev sys [s],min cpu [s],max cpu [s],mean cpu [s],stdev cpu [s]
xs grep,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.2075718015665797,6.12,6.14,6.128,0.009189365834726619,0.98,1.08,1.0350000000000001,0.029533408577782277,2.16,2.28,2.224,0.03806427312965376,3.17,3.32,3.259,0.04748099034818498
ripgrep --no-mmap -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1 --no-mmap,1.1759097409820436,6.27,6.3,6.293,0.01059349905471379,0.82,0.98,0.9319999999999999,0.043410188256265886,1.93,2.07,1.9809999999999999,0.041486276177925475,2.86,2.96,2.913,0.03233505150074074
ripgrep --no-mmap,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,1.175536139793487,6.27,6.31,6.295,0.01178511301977575,0.83,1.0,0.921,0.05858517066820086,1.89,2.09,2.004,0.07560129334578576,2.87,2.9699999999999998,2.925,0.033082388735465276
xs grep meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta,1.168851682198705,6.29,6.46,6.3309999999999995,0.04840798832148816,1.02,1.12,1.0510000000000002,0.033482997343593855,2.07,2.24,2.149,0.050651313463281125,3.12,3.3100000000000005,3.2,0.0588784057755191
xs grep -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,1.1582407262482393,6.36,6.4,6.389,0.01370320319406308,0.74,0.92,0.848,0.05940445175985458,1.57,1.76,1.638,0.06511528238439879,2.4699999999999998,2.5100000000000002,2.486,0.015776212754932368
ripgrep,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.1488899239248564,6.42,6.45,6.441,0.009944289260117638,0.88,1.07,0.991,0.05839520528262576,1.56,1.78,1.677,0.06201254353399442,2.63,2.7199999999999998,2.668,0.026583202716502538
ripgrep -j 1,rg She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt -j 1,1.1488899239248564,6.42,6.45,6.441,0.011972189997378738,0.93,1.08,1.014,0.05211099265563417,1.56,1.75,1.654,0.06380525927469542,2.63,2.69,2.668,0.018737959096740257
GNU grep,grep She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0718424101969872,6.89,6.92,6.904,0.010749676997731427,3.38,3.55,3.45,0.04830458915396479,1.84,2.0,1.935,0.05562773089426213,5.35,5.43,5.385,0.025495097567963983
xs grep -j 1 meta,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt /home/lfreist/CLionProjects/x-search/bench_data/en.sample.meta -j 1,1.0712217718587145,6.89,6.92,6.908,0.010327955589886568,0.81,0.92,0.857,0.033681514877517686,1.63,1.75,1.6949999999999998,0.03865804501581071,2.52,2.59,2.552,0.02201009869229218
xs grep --no-mmap,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap,1.065054691997697,6.86,7.0,6.948,0.04391911757866814,0.65,0.75,0.706,0.03238655413730965,2.32,2.4,2.359,0.025582111805799872,3.05,3.08,3.065,0.0108012344973465
cat,cat /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt,1.0,7.32,7.49,7.4,0.0609188896083236,0.01,0.02,0.014,0.0051639777949432225,5.08,5.2,5.117,0.038600518131237646,5.09,5.22,5.130999999999999,0.03871548642195904
xs grep --no-mmap -j 1,xs She[r ]lock /home/lfreist/CLionProjects/x-search/bench_data/en.sample.txt --no-mmap -j 1,0.9432759719566604,7.72,7.96,7.845,0.08409650541028578,0.54,0.73,0.638,0.056920997883030816,2.16,2.35,2.235,0.06276056794587571,2.85,2.91,2.873,0.021108186931983453
